Survey::Survey_Date,Outfall_ID,E. coli at 100ml,Air Temp,Alkalinity,Arrival_Time,Bac Notes,Color,Cond Exceed Tot,Conductivity,Copper,Copper Exceed Tot,DO,DO Exceedance Tot,E. coli Exceed Tot,Enterococcus at 100ml,Flouride,Flow_Rate,Genl_outfall_notes,Hardness,Hydrogen Sulfide,Iron,Lead,Lead Exceed Tot,Manganese,Mercury,Nitrate,Nitrite,Odor,pH,pH Exceed Tot,QCQA,Salinity,Sample Vol ML,Sodium Chloride,Survey_nbr,Temp Exceed Tot,Temp_Difference,Total Chlorine,TotalCount,Turbidity,Turbidity Exceed Tot,UniqueCount,Vis_Notes,Visual,Water Temp,WQ_Notes,YSI Dupe,Zinc,Survey::City
02/03/2021,Bennett Ave,340,8.89,,,,0,164,212.1,,8,11.09,30,126,,,Present,,,,,,0,,,,,0,7.44,0,YES,0.1,,,BEL210203,175,1.21,,565,9,6,0.018518519,,0,10.1,,NO,,Bellingham
03/16/2021,Bennett Ave,7040,9.4,,,,0,164,293.2,,8,10.19,30,126,,,Present,,,,,,0,,,,,0,7.81,0,YES,0.14,,,BEL210316,175,0.7,,565,9,6,0.037037037,,0,10.1,,NO,,Bellingham
04/15/2021,Bennett Ave,760,20,,,,0,164,303.3,,8,,30,126,,,Present,,,,,,0,,,,,0,7.46,0,YES,0.15,,,BEL210415,175,-8.2,,565,9,6,0.055555556,,0,11.8,,NO,,Bellingham
05/11/2021,Bennett Ave,460,17.3,,,,0,164,240,,8,,30,126,,,Present,,,,,,0,,,,,0,7.6,0,YES,0.15,,,BEL210511,175,-3.7,,565,9,6,0.074074074,,0,13.6,,NO,,Bellingham
06/08/2021,Bennett Ave,280,22.1,,,,0,164,282.6,,8,10.2,30,126,,,Present,,,,,,0,,,,,0,7.6,0,YES,0.14,,,BEL210608,175,-7.7,,565,9,6,0.092592593,,0,14.4,,NO,,Bellingham
07/06/2021,Bennett Ave,1540,22.2,,,,0,164,236.4,,8,9.33,30,126,,,Present,,,,,,0,,,,,0,7.46,0,YES,0.13,,,BEL210706,175,-5.6,,565,9,6,0.111111111,,0,16.6,,NO,,Bellingham
08/11/2021,Bennett Ave,2560,22.3,,,,0,164,322.3,,8,9.3,30,126,,,Present,,,,,,0,,,,,0,7.38,0,YES,0.15,,,BEL210811,175,-4.4,,565,9,6,0.12962963,,0,17.9,,NO,,Bellingham
09/07/2021,Bennett Ave,180,22.8,,,,0,164,353.4,,8,10.45,30,126,,,Present,,,,,,0,,,,,0,7.83,0,YES,0.17,,,BEL210907,175,-6,,565,9,6,0.148148148,,0,16.8,,NO,,Bellingham
10/04/2021,Bennett Ave,540,14.2,,,,0,164,303.2,,8,9.88,30,126,,,Present,,,,,,0,,,,,0,7.81,0,YES,0.15,,,BEL211004,175,1,,565,9,6,0.166666667,,0,15.2,,NO,,Bellingham
11/01/2021,Bennett Ave,420,7.22,,,,0,164,273.5,,8,10,30,126,,,Present,,,,,,0,,,,,0,7.79,0,YES,0.13,,,BEL211101,175,5.88,,565,9,6,0.185185185,,0,13.1,,NO,,Bellingham
