City Code,Site ID,Sample Date,"Sample 
Time 24 hr
hh:mm","Prior 24 hr
Rainfall  inches","Prior 72 hr
Rainfall  inches",Est. Tide Height     feet,Flow Rate,Outflow > expected   No=1 Yes=2,Air Temp  °C,Water Temp   °C,"Dissolved Oxygen
mg/l",pH,"Conductivity
(SPC)
uS/cm",Salinity ppt,"Turbidity
NTU",E. Coli,"Duplicate E. coli 
cfu/100ml",Enterococcus,Duplicate Enterococcus cfu/100ml,Color,Odor,Visual,Comments,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,02-03-21,,,2.30,,Present,1,8.9,10.1,11.09,7.44,212.1,0.1,9,340,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,03-16-21,,,0.14,,Present,1,9.4,10.1,10.19,7.81,293.2,0.14,9,7040,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,04-15-21,,,0.00,,Present,1,20.0,11.8,,7.46,303.3,0.15,9,760,,,,0,0,0,DO probe not working,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,05-11-21,,,0.01,,Present,1,17.3,13.6,,7.6,240,0.15,9,460,,,,0,0,0,DO probe not working,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,06-08-21,,,0.13,,Present,1,22.1,14.4,10.2,7.6,282.6,0.14,9,280,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,07-06-21,,,0.00,,Present,1,22.2,16.6,9.33,7.46,236.4,0.13,9,1540,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,08-11-21,,,0.16,,Present,1,22.3,17.9,9.3,7.38,322.3,0.15,9,2560,,,,0,0,0,Bacteria - in addition to high E. coli there was a lot of Fecal Coliform (petri dish was covered in pink colonies),,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,09-07-21,,,0.18,,Present,1,22.8,16.8,10.45,7.83,353.4,0.17,9,180,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,10-04-21,,,0.53,,Present,1,14.2,15.2,9.88,7.81,303.2,0.15,9,540,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,11-01-21,,,0.00,,Present,1,7.2,13.1,10,7.79,273.5,0.13,9,420,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,12-01-21,,,1.36,,Present,1,13.9,11.8,11.87,7.18,79.9,0.04,9,260,,,,1,0,0,Color: yellow; Sampling done after 3 atmospheric rivers (Nov had 13.5 in rain). Turbidity may be off due to non-natural light (sampled in the dark),,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,01-13-22,,,0.64,,Present,1,5.5,9.8,11.51,7.65,254.5,0.12,9,1000,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,01-13-22,,,0.64,,Present,1,5.5,9.9,11.46,7.63,254.4,0.12,9,1280,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,02-24-22,,,0.10,,Present,1,3.0,8.8,12.05,8.03,306.3,0.15,9,420,,,,0,0,0,Some floaties in the water; Snowed last night,,,,,,,,,,,,,,,,,,,,,,,,,
